025-02-20 21:02:52,878 - Loaded spaCy model in 1.70 seconds
2025-02-20 21:04:18,255 - Batch 2850-2900 processed in 1.61 seconds | Locations found: 5 | Total locations: 198
2025-02-20 21:04:19,679 - Batch 2900-2950 processed in 1.42 seconds | Locations found: 2 | Total locations: 200
2025-02-20 21:04:20,767 - Batch 2950-3000 processed in 1.09 seconds | Locations found: 3 | Total locations: 203
2025-02-20 21:04:22,007 - Batch 3000-3050 processed in 1.24 seconds | Locations found: 2 | Total locations: 205
2025-02-20 21:04:23,159 - Batch 3050-3100 processed in 1.15 seconds | Locations found: 3 | Total locations: 208
2025-02-20 21:04:25,189 - Batch 3100-3150 processed in 2.03 seconds | Locations found: 6 | Total locations: 214
2025-02-20 21:04:26,775 - Batch 3150-3200 processed in 1.59 seconds | Locations found: 6 | Total locations: 220
2025-02-20 21:04:27,735 - Batch 3200-3250 processed in 0.96 seconds | Locations found: 2 | Total locations: 222
2025-02-20 21:04:29,297 - Batch 3250-3300 processed in 1.56 seconds | Locations found: 3 | Total locations: 225
2025-02-20 21:04:30,432 - Batch 3300-3350 processed in 1.13 seconds | Locations found: 2 | Total locations: 227
2025-02-20 21:04:32,273 - Batch 3350-3400 processed in 1.84 seconds | Locations found: 1 | Total locations: 228
2025-02-20 21:04:33,491 - Batch 3400-3450 processed in 1.22 seconds | Locations found: 3 | Total locations: 231
2025-02-20 21:04:34,578 - Batch 3450-3500 processed in 1.09 seconds | Locations found: 8 | Total locations: 239
2025-02-20 21:04:35,935 - Batch 3500-3550 processed in 1.36 seconds | Locations found: 1 | Total locations: 240
2025-02-20 21:04:37,437 - Batch 3550-3600 processed in 1.50 seconds | Locations found: 2 | Total locations: 242
2025-02-20 21:04:38,376 - Batch 3600-3650 processed in 0.94 seconds | Locations found: 1 | Total locations: 243
2025-02-20 21:04:39,495 - Batch 3650-3700 processed in 1.12 seconds | Locations found: 4 | Total locations: 247
2025-02-20 21:04:40,671 - Batch 3700-3750 processed in 1.18 seconds | Locations found: 2 | Total locations: 249
